Wavelength,Absorbance
400,0.122
401,0.115
402,0.102
403,0.090
404,0.079
405,0.069
406,0.059
407,0.050
408,0.041
409,0.032
410,0.023
411,0.016
412,0.010
413,0.005
414,0.002
415,0.001
416,0.000
417,0.000
418,0.000
419,0.000
420,0.000
421,0.000
422,0.000
423,0.000
424,0.000
425,0.000
426,0.000
427,0.000
428,0.000
429,0.000
430,0.000
431,0.000
432,0.000
433,0.000
434,0.000
435,0.000
436,0.002
437,0.005
438,0.008
439,0.012
440,0.016
441,0.020
442,0.023
443,0.025
444,0.026
445,0.026
446,0.026
447,0.026
448,0.026
449,0.026
450,0.026
451,0.027
452,0.027
453,0.027
454,0.027
455,0.027
456,0.028
457,0.028
458,0.028
459,0.028
460,0.028
461,0.029
462,0.029
463,0.029
464,0.029
465,0.029
466,0.030
467,0.030
468,0.030
469,0.029
470,0.029
471,0.029
472,0.029
473,0.029
474,0.030
475,0.030
476,0.030
477,0.030
478,0.030
479,0.030
480,0.030
481,0.030
482,0.030
483,0.030
484,0.031
485,0.030
486,0.031
487,0.031
488,0.031
489,0.031
490,0.030
491,0.030
492,0.030
493,0.030
494,0.030
495,0.029
496,0.029
497,0.030
498,0.030
499,0.030
500,0.030
501,0.031
502,0.031
503,0.031
504,0.031
505,0.032
506,0.032
507,0.033
508,0.034
509,0.035
510,0.036
511,0.038
512,0.039
513,0.040
514,0.042
515,0.043
516,0.045
517,0.046
518,0.047
519,0.049
520,0.050
521,0.052
522,0.054
523,0.055
524,0.056
525,0.058
526,0.059
527,0.061
528,0.063
529,0.065
530,0.068
531,0.070
532,0.072
533,0.074
534,0.077
535,0.079
536,0.082
537,0.084
538,0.087
539,0.089
540,0.092
541,0.095
542,0.098
543,0.101
544,0.104
545,0.108
546,0.111
547,0.115
548,0.118
549,0.122
550,0.127
551,0.131
552,0.135
553,0.140
554,0.145
555,0.150
556,0.155
557,0.161
558,0.166
559,0.171
560,0.178
561,0.184
562,0.190
563,0.197
564,0.204
565,0.211
566,0.218
567,0.225
568,0.232
569,0.239
570,0.247
571,0.254
572,0.262
573,0.269
574,0.277
575,0.284
576,0.292
577,0.299
578,0.306
579,0.313
580,0.320
581,0.327
582,0.334
583,0.341
584,0.348
585,0.354
586,0.361
587,0.368
588,0.376
589,0.383
590,0.391
591,0.400
592,0.409
593,0.418
594,0.428
595,0.439
596,0.450
597,0.462
598,0.474
599,0.487
600,0.501
601,0.517
602,0.533
603,0.550
604,0.568
605,0.587
606,0.606
607,0.627
608,0.648
609,0.670
610,0.692
611,0.714
612,0.736
613,0.758
614,0.779
615,0.800
616,0.821
617,0.840
618,0.857
619,0.873
620,0.888
621,0.899
622,0.911
623,0.920
624,0.927
625,0.932
626,0.934
627,0.936
628,0.934
629,0.928
630,0.922
631,0.913
632,0.899
633,0.885
634,0.868
635,0.847
636,0.826
637,0.801
638,0.774
639,0.745
640,0.714
641,0.682
642,0.650
643,0.618
644,0.586
645,0.554
646,0.522
647,0.490
648,0.460
649,0.430
650,0.401
651,0.374
652,0.348
653,0.323
654,0.300
655,0.278
656,0.258
657,0.239
658,0.221
659,0.204
660,0.189
661,0.175
662,0.161
663,0.149
664,0.138
665,0.127
666,0.117
667,0.108
668,0.100
669,0.092
670,0.086
671,0.079
672,0.074
673,0.069
674,0.064
675,0.060
676,0.056
677,0.052
678,0.049
679,0.046
680,0.043
681,0.040
682,0.038
683,0.036
684,0.034
685,0.032
686,0.030
687,0.028
688,0.027
689,0.025
690,0.024
691,0.022
692,0.021
693,0.020
694,0.019
695,0.018
696,0.017
697,0.016
698,0.016
699,0.015
700,0.015
