Wavelength,Absorbance
400,0.294
401,0.286
402,0.274
403,0.263
404,0.253
405,0.245
406,0.236
407,0.23
408,0.224
409,0.219
410,0.215
411,0.211
412,0.207
413,0.205
414,0.203
415,0.201
416,0.201
417,0.201
418,0.201
419,0.202
420,0.204
421,0.206
422,0.209
423,0.212
424,0.215
425,0.22
426,0.225
427,0.231
428,0.237
429,0.244
430,0.252
431,0.26
432,0.269
433,0.278
434,0.288
435,0.299
436,0.311
437,0.325
438,0.339
439,0.353
440,0.367
441,0.381
442,0.393
443,0.404
444,0.414
445,0.424
446,0.434
447,0.444
448,0.454
449,0.465
450,0.475
451,0.486
452,0.497
453,0.507
454,0.519
455,0.53
456,0.541
457,0.552
458,0.564
459,0.575
460,0.586
461,0.597
462,0.608
463,0.62
464,0.631
465,0.642
466,0.654
467,0.665
468,0.676
469,0.686
470,0.695
471,0.705
472,0.713
473,0.722
474,0.73
475,0.738
476,0.746
477,0.754
478,0.761
479,0.768
480,0.775
481,0.782
482,0.789
483,0.796
484,0.802
485,0.808
486,0.814
487,0.82
488,0.826
489,0.831
490,0.837
491,0.842
492,0.847
493,0.852
494,0.856
495,0.86
496,0.864
497,0.867
498,0.87
499,0.873
500,0.875
501,0.876
502,0.876
503,0.877
504,0.876
505,0.874
506,0.871
507,0.868
508,0.865
509,0.862
510,0.857
511,0.853
512,0.848
513,0.842
514,0.837
515,0.831
516,0.825
517,0.819
518,0.813
519,0.807
520,0.8
521,0.794
522,0.787
523,0.78
524,0.773
525,0.766
526,0.758
527,0.751
528,0.743
529,0.735
530,0.727
531,0.719
532,0.71
533,0.7
534,0.69
535,0.68
536,0.668
537,0.657
538,0.644
539,0.631
540,0.617
541,0.603
542,0.589
543,0.574
544,0.558
545,0.541
546,0.524
547,0.506
548,0.487
549,0.468
550,0.449
551,0.429
552,0.41
553,0.391
554,0.372
555,0.353
556,0.335
557,0.317
558,0.299
559,0.281
560,0.265
561,0.249
562,0.234
563,0.22
564,0.206
565,0.193
566,0.181
567,0.169
568,0.158
569,0.147
570,0.138
571,0.128
572,0.12
573,0.112
574,0.104
575,0.097
576,0.091
577,0.085
578,0.079
579,0.073
580,0.069
581,0.064
582,0.06
583,0.056
584,0.053
585,0.05
586,0.047
587,0.044
588,0.041
589,0.039
590,0.037
591,0.035
592,0.033
593,0.031
594,0.03
595,0.028
596,0.027
597,0.026
598,0.025
599,0.024
600,0.023
601,0.022
602,0.021
603,0.02
604,0.02
605,0.019
606,0.019
607,0.018
608,0.018
609,0.017
610,0.016
611,0.015
612,0.015
613,0.014
614,0.014
615,0.014
616,0.013
617,0.013
618,0.013
619,0.013
620,0.013
621,0.013
622,0.013
623,0.012
624,0.012
625,0.012
626,0.012
627,0.012
628,0.012
629,0.011
630,0.011
631,0.011
632,0.011
633,0.01
634,0.01
635,0.011
636,0.011
637,0.011
638,0.011
639,0.011
640,0.01
641,0.01
642,0.01
643,0.01
644,0.01
645,0.01
646,0.01
647,0.01
648,0.009
649,0.009
650,0.009
651,0.009
652,0.009
653,0.009
654,0.009
655,0.009
656,0.009
657,0.009
658,0.009
659,0.008
660,0.008
661,0.008
662,0.008
663,0.008
664,0.008
665,0.008
666,0.008
667,0.008
668,0.008
669,0.007
670,0.007
671,0.007
672,0.007
673,0.007
674,0.007
675,0.007
676,0.007
677,0.007
678,0.007
679,0.007
680,0.007
681,0.007
682,0.007
683,0.007
684,0.006
685,0.006
686,0.006
687,0.006
688,0.006
689,0.006
690,0.006
691,0.006
692,0.006
693,0.006
694,0.006
695,0.006
696,0.006
697,0.006
698,0.006
699,0.006
700,0.006
